[ORM]2018/10/19 02:36:30  -[Queries/default] - [  OK /     db.Exec /     3.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:36:30`, `100`
[ORM]2018/10/19 02:37:30  -[Queries/default] - [  OK /     db.Exec /     2.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:37:30`, `100`
[ORM]2018/10/19 02:38:30  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:38:30`, `100`
[ORM]2018/10/19 02:39:30  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:39:30`, `100`
[ORM]2018/10/19 02:40:30  -[Queries/default] - [  OK /     db.Exec /     2.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:40:30`, `100`
[ORM]2018/10/19 02:41:30  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:41:30`, `100`
[ORM]2018/10/19 02:42:30  -[Queries/default] - [  OK /     db.Exec /     2.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:42:30`, `100`
[ORM]2018/10/19 02:43:30  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:43:30`, `100`
[ORM]2018/10/19 02:44:30  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:44:30`, `100`
[ORM]2018/10/19 02:45:30  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:45:30`, `100`
[ORM]2018/10/19 02:46:29  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:46:29`, `100`
[ORM]2018/10/19 02:47:29  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:47:29`, `100`
[ORM]2018/10/19 02:48:29  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:48:29`, `100`
[ORM]2018/10/19 02:49:29  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:49:29`, `100`
[ORM]2018/10/19 02:50:29  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:50:29`, `100`
[ORM]2018/10/19 02:51:29  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:51:29`, `100`
[ORM]2018/10/19 02:52:29  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:52:29`, `100`
[ORM]2018/10/19 02:53:29  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:53:29`, `100`
[ORM]2018/10/19 02:54:29  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:54:29`, `100`
[ORM]2018/10/19 02:55:29  -[Queries/default] - [  OK /     db.Exec /     1.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:55:29`, `100`
[ORM]2018/10/19 02:56:29  -[Queries/default] - [  OK /     db.Exec /     2.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:56:29`, `100`
[ORM]2018/10/19 02:57:29  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:57:29`, `100`
[ORM]2018/10/19 02:58:29  -[Queries/default] - [  OK /     db.Exec /     2.2ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:58:29`, `100`
[ORM]2018/10/19 02:59:29  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:59:29`, `100`
[ORM]2018/10/19 03:00:29  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:00:29`, `100`
[ORM]2018/10/19 03:01:29  -[Queries/default] - [  OK /     db.Exec /     3.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:01:29`, `100`
[ORM]2018/10/19 03:02:28  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:02:28`, `100`
[ORM]2018/10/19 03:03:28  -[Queries/default] - [  OK /     db.Exec /     2.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:03:28`, `100`
[ORM]2018/10/19 03:04:28  -[Queries/default] - [  OK /     db.Exec /     2.2ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:04:28`, `100`
[ORM]2018/10/19 03:05:28  -[Queries/default] - [  OK /     db.Exec /     2.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:05:28`, `100`
[ORM]2018/10/19 03:06:28  -[Queries/default] - [  OK /     db.Exec /     2.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:06:28`, `100`
[ORM]2018/10/19 03:07:28  -[Queries/default] - [  OK /     db.Exec /     0.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:07:28`, `100`
[ORM]2018/10/19 03:08:28  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:08:28`, `100`
[ORM]2018/10/19 03:09:28  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:09:28`, `100`
[ORM]2018/10/19 03:10:28  -[Queries/default] - [  OK /     db.Exec /     2.3ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:10:28`, `100`
[ORM]2018/10/19 03:11:28  -[Queries/default] - [  OK /     db.Exec /     2.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:11:28`, `100`
[ORM]2018/10/19 03:12:28  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 03:12:28`, `100`
